2017-01-14,2017-01-14,1.1027399999999998
2017-01-15,2017-01-15,0.02714
2017-01-16,2017-01-16,0.02758
2017-01-17,2017-01-17,1.67693
2017-01-18,2017-01-18,6.470910000000001
2017-01-19,2017-01-19,4.97476
2017-01-20,2017-01-20,0.01264
2017-01-21,2017-01-21,5.464689999999999
2017-01-22,2017-01-22,5.529890000000002
2017-01-23,2017-01-23,7.324358900000001
2017-03-18,2017-03-18,3.302150000000001
2017-03-19,2017-03-19,1.4300300000000004
2017-03-20,2017-03-20,6.288940000000001
2017-03-21,2017-03-21,4.219999999999999
2017-03-22,2017-03-22,0.08444
2017-03-23,2017-03-23,2.2723400000000002
2017-03-24,2017-03-24,1.99055
2017-03-25,2017-03-25,3.8028499999999994
2017-03-26,2017-03-26,3.7237479999999996
2017-03-27,2017-03-27,3.4136300000000004
2017-03-28,2017-03-28,4.9957899999999995
2017-03-29,2017-03-29,2.01021
2017-03-30,2017-03-30,3.930860000000001
2017-03-31,2017-03-31,0.28113
2017-04-01,2017-04-01,3.82998
2017-04-02,2017-04-02,7.819040000000002
2017-04-03,2017-04-03,4.0157099999999994
2017-04-04,2017-04-04,11.244318000000005
2017-04-05,2017-04-05,5.71648
2017-04-06,2017-04-06,5.579006
2017-04-07,2017-04-07,6.8294
2017-04-08,2017-04-08,3.93329
2017-04-09,2017-04-09,1.23494
2017-04-10,2017-04-10,4.865930000000001
2017-04-11,2017-04-11,5.074189999999999
2017-04-12,2017-04-12,6.0094899999999996
2017-04-13,2017-04-13,3.2066299999999996
2017-04-14,2017-04-14,3.0290799999999996
2017-04-15,2017-04-15,7.4809293000000014
2017-04-16,2017-04-16,5.764630000000001
2017-04-17,2017-04-17,3.62439
2017-04-18,2017-04-18,5.78089
2017-04-19,2017-04-19,4.17165
2017-04-20,2017-04-20,5.7621644
2017-04-21,2017-04-21,4.465229999999999
2017-04-22,2017-04-22,1.5008700000000004
2017-04-23,2017-04-23,1.5564200000000001
2017-04-24,2017-04-24,0.31494
2017-04-25,2017-04-25,6.107760000000001
2017-04-26,2017-04-26,2.2469900000000003
2017-04-27,2017-04-27,7.740089999999999
2017-04-28,2017-04-28,4.2113499999999995
2017-04-29,2017-04-29,5.768051
2017-04-30,2017-04-30,2.2360700000000002
